,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
29,@CBSNews,Revelations of a Chinese cyberattack on a U.S. Navy contractor comes days before President Trump attends a summit w… https://t.co/mfrUgWGXxt,Fri Jun 08 21:00:01 +0000 2018,0.0,0.0,0.0,1.0,30
30,@CBSNews,"""The future is now"": Policymakers and businesses are ill-prepared to help workers navigate the transition and adapt… https://t.co/uXFufQIhVH",Fri Jun 08 20:39:41 +0000 2018,0.4019,0.137,0.0,0.863,31
31,@CBSNews,$1.5 billion in campaign support was not enough for several candidates backed by George Soros to oust the incumbent… https://t.co/EKf8NKGzO2,Fri Jun 08 20:19:40 +0000 2018,0.4215,0.174,0.0,0.826,32
32,@CBSNews,"Honda slates its Super Cub, the best selling motor vehicle of all time, for a rerelease in the U.S. next year… https://t.co/6l1bgDfisP",Fri Jun 08 19:59:55 +0000 2018,0.8442,0.299,0.0,0.701,33
33,@CBSNews,"With one last look at the crowd, Marmalade the harbor seal dived back into the waves off the coast of Ocean City, M… https://t.co/4aAYTzVmSF",Fri Jun 08 19:40:04 +0000 2018,0.0,0.0,0.0,1.0,34
34,@CBSNews,Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash… https://t.co/5EASH4rhUA,Fri Jun 08 19:24:50 +0000 2018,-0.6369,0.0,0.189,0.811,35
35,@CBSNews,"""We are accountable to the people who use what we make"": Facebook COO Sheryl Sandberg's MIT commencement speech urg… https://t.co/b0ZhxaFHlJ",Fri Jun 08 19:10:19 +0000 2018,0.0,0.0,0.0,1.0,36
36,@CBSNews,Authorities are investigating the reported suicide of a Kansas woman who led a private investigator to the decompos… https://t.co/TapZCfxZeU,Fri Jun 08 18:49:50 +0000 2018,-0.6705,0.0,0.22,0.78,37
37,@CBSNews,"Whichever team wins the NBA championship, President Trump says he won't be inviting them to the White House:… https://t.co/kk5EWWDu3Q",Fri Jun 08 18:34:57 +0000 2018,0.6846,0.269,0.08,0.651,38
38,@CBSNews,"MOMENTS AGO: President Trump and other G7 leaders take ""family photo"" at summit in Quebec https://t.co/gPokHDkAxK https://t.co/2e6r5Sma2o",Fri Jun 08 18:25:45 +0000 2018,0.0,0.0,0.0,1.0,39
39,@CBSNews,NEW: Special counsel brings new charges against President Trump's campaign chairman Paul Manafort and a longtime as… https://t.co/JSoRyS0o2A,Fri Jun 08 18:17:08 +0000 2018,0.1531,0.136,0.106,0.758,40
40,@CBSNews,"Asia Argento, actress and girlfriend of late celebrity chef Anthony Bourdain, says she is ""beyond devastated""… https://t.co/E1PiOJQ0Ry",Fri Jun 08 18:05:10 +0000 2018,0.0,0.0,0.0,1.0,41
41,@CBSNews,"If you or someone you know is struggling or in crisis, you are not alone. https://t.co/OzkLuk4t2k https://t.co/4sYSqGriXa",Fri Jun 08 17:49:35 +0000 2018,-0.7319,0.077,0.305,0.618,42
42,@CBSNews,"Dennis Rodman says he will travel to Singapore ""for the historical summit"" between President Trump and North Korea'… https://t.co/E1bEYOh2Jp",Fri Jun 08 17:34:47 +0000 2018,0.0,0.0,0.0,1.0,43
43,@CBSNews,A woman who was out walking her dogs is missing after an alligator reportedly attacked her and dragged her into a p… https://t.co/3sxKN8vacS,Fri Jun 08 17:19:56 +0000 2018,-0.6597,0.0,0.262,0.738,44
44,@CBSNews,"""We appreciate President Trump's sentiment, but a pardon is unnecessary,"" says the lawyer for late heavyweight boxi… https://t.co/ReUcxMpDnp",Fri Jun 08 17:05:02 +0000 2018,0.5859,0.242,0.0,0.758,45
45,@CBSNews,"The threats facing our oceans might seem like an overwhelming tsunami of problems, but there is still hope. Here ar… https://t.co/7jWEIjbMYX",Fri Jun 08 16:54:37 +0000 2018,0.431,0.213,0.142,0.645,46
46,@CBSNews,"U.K. Foreign Secretary Boris Johnson talks Brexit ""meltdown,"" lauds President Trump in leaked audio… https://t.co/O0v2glyQZS",Fri Jun 08 16:35:19 +0000 2018,-0.3182,0.0,0.141,0.859,47
47,@CBSNews,WATCH: Canadian Prime Minister Justin Trudeau and his wife welcome President Trump to Quebec for G7 summit… https://t.co/JZeotyPsPZ,Fri Jun 08 16:28:11 +0000 2018,0.4588,0.15,0.0,0.85,48
48,@CBSNews,"RT @CBSSunday: THE RUNDOWN

A look at what the #CBSSundayMorning team is working hard on:

- @musiciansoncall 

- @MoRocca on Broadway's @R…",Fri Jun 08 16:19:00 +0000 2018,-0.1027,0.0,0.072,0.928,49
49,@CBSNews,WATCH: President Trump has arrived in Quebec for the G7 summit; Trump was originally scheduled to meet with French… https://t.co/yauVzBFA9i,Fri Jun 08 16:14:38 +0000 2018,0.0,0.0,0.0,1.0,50
50,@CBSNews,"In a break from U.S. allies, Pres. Trump said he hopes to reinstate Russia into the current G7 (formerly known as t… https://t.co/v5kQD62k5v",Fri Jun 08 15:59:51 +0000 2018,0.4215,0.118,0.0,0.882,51
51,@CBSNews,Do you have to vote even if you don't want to? Not doing so could put you on the path to losing your vote in some s… https://t.co/7lrN6W7muE,Fri Jun 08 15:34:49 +0000 2018,-0.4257,0.0,0.128,0.872,52
52,@CBSNews,Woman walking dog is missing after reported alligator attack in Florida https://t.co/P9ew6R6hqV https://t.co/Jtf81vLBfZ,Fri Jun 08 15:19:27 +0000 2018,-0.6486,0.0,0.325,0.675,53
53,@CBSNews,WATCH: President Trump arrives in Quebec City for G7 summit; he'll take questions with French President Emmanuel Ma… https://t.co/wLEBiEenor,Fri Jun 08 15:08:41 +0000 2018,0.0,0.0,0.0,1.0,54
54,@CBSNews,"Actors, politicians, journalists, scientists and others react to Anthony Bourdain's death: ""Without ever preaching,… https://t.co/OEQ73SIklE",Fri Jun 08 14:55:19 +0000 2018,-0.5994,0.0,0.218,0.782,55
55,@CBSNews,"Anthony Bourdain, the TV celebrity and food writer who traveled the world in search of exotic dishes, was found dea… https://t.co/UcTN29SYUd",Fri Jun 08 14:44:04 +0000 2018,0.0,0.0,0.0,1.0,56
56,@CBSNews,"""I've been sentenced to the best job in the world"": @AnthonyMasonCBS spoke to Anthony Bourdain, who died Friday at… https://t.co/Qvu6wiXn1p",Fri Jun 08 14:24:49 +0000 2018,0.128,0.162,0.181,0.656,57
57,@CBSNews,"Melania Trump wanted to join G7 summit trip but she can't fly for a month, President Trump says… https://t.co/h1cHZmdxRY",Fri Jun 08 14:05:29 +0000 2018,0.1531,0.086,0.0,0.914,58
58,@CBSNews,A chilling report reveals bartenders' actions before last year's massacre at a Texas home during a Dallas Cowboys g… https://t.co/NPjKni2lqK,Fri Jun 08 13:50:52 +0000 2018,-0.0258,0.0,0.064,0.936,59
59,@CBSNews,"President Trump says he may pardon another late heavyweight boxing champion — this time, Muhammad Ali:… https://t.co/nvzjUhhDUw",Fri Jun 08 13:33:58 +0000 2018,0.7351,0.307,0.0,0.693,60
60,@CBSNews,RT @CBSThisMorning: More than 600 homes have now been destroyed by the volcano on Hawaii's Big Island. The Kilauea volcano is still eruptin…,Fri Jun 08 13:18:14 +0000 2018,-0.4939,0.0,0.127,0.873,61
61,@CBSNews,"President Trump, on his way to the G-7 summit in Canada, said he hopes to reinstate Russia into the group. Russia w… https://t.co/W4p7APZEbV",Fri Jun 08 13:14:45 +0000 2018,0.4215,0.113,0.0,0.887,62
62,@CBSNews,"Suicide rates in the U.S. rose nearly 30% over the past two decades, according to a new study, and researchers say… https://t.co/9oo7aRk8dY",Fri Jun 08 13:01:56 +0000 2018,-0.6705,0.0,0.184,0.816,63
63,@CBSNews,"EPA Administrator Scott Pruitt ""is being attacked very viciously by the press. I'm not saying that he is blameless… https://t.co/FFhcuVdUNA",Fri Jun 08 12:49:38 +0000 2018,-0.6801,0.0,0.237,0.763,64
64,@CBSNews,"“Yes, I do have an absolute right to pardon myself, but I will never have to do it becauseI didn't do anything wron… https://t.co/S4Eckyl6vQ",Fri Jun 08 12:48:24 +0000 2018,0.1655,0.073,0.0,0.927,65
65,@CBSNews,"President Trump says he is considering pardoning Muhammad Ali: ""I'm thinking about that very seriously.""… https://t.co/FoU4J7ViLd",Fri Jun 08 12:47:00 +0000 2018,0.4019,0.153,0.0,0.847,66
66,@CBSNews,"""Why are we having a meeting without Russia? I would recommend, and it is up to them, but Russia should be in the m… https://t.co/m7n3z2rgMP",Fri Jun 08 12:43:25 +0000 2018,-0.1419,0.0,0.066,0.934,67
67,@CBSNews,"President Trump on death of Anthony Bourdain: ""I want to extend to his family my heartfelt condolences.""… https://t.co/l1KxnK9BPP",Fri Jun 08 12:41:21 +0000 2018,0.1531,0.266,0.16,0.574,68
68,@CBSNews,"“I said I've been preparing all my life. I always believe in preparation. But I have been preparing all my life,” P… https://t.co/BaDxZRs6p2",Fri Jun 08 12:39:30 +0000 2018,0.0,0.0,0.0,1.0,69
69,@CBSNews,"""We are going to deal with the unfair trade practices. If you look what Canada, Mexico, the European Union, what al… https://t.co/lvjuEsj26h",Fri Jun 08 12:36:50 +0000 2018,-0.4767,0.0,0.129,0.871,70
70,@CBSNews,MOMENTS AGO: President Trump speaks to reporters as he departs the White House for the G7 summit in Quebec… https://t.co/ZQBV6xMQ9Z,Fri Jun 08 12:34:04 +0000 2018,0.0,0.0,0.0,1.0,71
71,@CBSNews,"RT @CBSThisMorning: ""You never know what's in somebody's head... A lot of times people who end up committing suicide, even when they're ask…",Fri Jun 08 12:29:04 +0000 2018,-0.6369,0.05,0.174,0.775,72
72,@CBSNews,"RT @CBSThisMorning: ""I think when you travel as much as I have... I think you become aware of how other people live, how hard their lives a…",Fri Jun 08 12:21:50 +0000 2018,-0.1027,0.0,0.055,0.945,73
73,@CBSNews,“I think it is a public health crisis. And I think what it means is that we need more resources. We need more resea… https://t.co/gnVbZjO13h,Fri Jun 08 12:11:06 +0000 2018,-0.6249,0.0,0.157,0.843,74
74,@CBSNews,Anthony Bourdain told @AnthonyMasonCBS in 2016 that his later life changed him: https://t.co/eEcdi1IJsk https://t.co/aP3Gqhr7lK,Fri Jun 08 12:06:34 +0000 2018,0.0,0.0,0.0,1.0,75
75,@CBSNews,"RT @CBSThisMorning: If you or somebody you know is struggling, you're not alone. Please call 1-800-273-TALK for help. @800273TALK is availa…",Fri Jun 08 11:57:34 +0000 2018,-0.0829,0.169,0.182,0.649,76
76,@CBSNews,"Anthony Bourdain's ""love of great adventure, new friends, fine food and drink and the remarkable stories of the wor… https://t.co/ZD1mwUHe9z",Fri Jun 08 11:47:21 +0000 2018,0.959,0.577,0.0,0.423,77
77,@CBSNews,"Anthony Bourdain, a celebrity chef and host of CNN's ""Parts Unknown,"" has died in an apparent suicide, the network… https://t.co/tyKepWV9nB",Fri Jun 08 11:34:54 +0000 2018,-0.8442,0.0,0.323,0.677,78
78,@CBSNews,"For the first time in their history, the NHL's Washington @Capitals are Stanley Cup champions. Fans couldn't hold b… https://t.co/Zw7oSX7hLC",Fri Jun 08 11:23:10 +0000 2018,0.5267,0.152,0.0,0.848,79
79,@CBSNews,"A New medical mystery affecting U.S. diplomatic workers, this time in China, is deepening. The U.S. embassy in Beij… https://t.co/6deY2iQWcg",Fri Jun 08 11:19:42 +0000 2018,0.0,0.0,0.0,1.0,80
80,@CBSNews,A teen escorted from the U.S. by ICE in April has reportedly killed soon after in Mexico: https://t.co/Glz3eiw13i https://t.co/0lcsBoUbSs,Fri Jun 08 11:19:31 +0000 2018,-0.6705,0.0,0.209,0.791,81
81,@CBSNews,An Arizona man who was shown being hit by police on surveillance and body camera footage is speaking out:… https://t.co/NeHOcLcmaZ,Fri Jun 08 11:17:04 +0000 2018,0.0,0.0,0.0,1.0,82
82,@CBSNews,Prosecutors in Guatemala are investigating if the country's emergency response agency was negligent in the response… https://t.co/4rGY5KAiyv,Fri Jun 08 11:14:47 +0000 2018,-0.3818,0.0,0.14,0.86,83
83,@CBSNews,More than 600 homes have now been destroyed by the volcano on Hawaii’s Big Island https://t.co/BjU8vKSwDF https://t.co/Qs9hJETe9K,Fri Jun 08 11:13:01 +0000 2018,-0.4939,0.0,0.167,0.833,84
84,@CBSNews,"The Senate Intelligence Committee's former head of security is due in court today, accused of lying to the FBI abou… https://t.co/ZQNDHU1859",Fri Jun 08 11:11:57 +0000 2018,-0.0258,0.196,0.199,0.605,85
