,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
29,@CNN,"RT @AC360: .@andersoncooper: We have lost a friend, a travel companion who was always up for an adventure and one of this country’s greates…",Sat Jun 09 00:48:32 +0000 2018,0.4939,0.205,0.086,0.709,30
30,@CNN,"Steamboat Geyser in Yellowstone National Park is erupting unusually often. One June 4, the geyser had its eighth er… https://t.co/0XsZbucBdo",Sat Jun 09 00:46:00 +0000 2018,0.0,0.0,0.0,1.0,31
31,@CNN,Hilary Duff is expecting her second child https://t.co/vZxOVXqCa1 https://t.co/cBore5R9Qu,Sat Jun 09 00:41:04 +0000 2018,0.0,0.0,0.0,1.0,32
32,@CNN,"Organizers of a fashion show in Saudi Arabia used drones to display female clothes, drawing ridicule on social medi… https://t.co/isu6bOsjW9",Sat Jun 09 00:32:40 +0000 2018,-0.4588,0.0,0.143,0.857,33
33,@CNN,Authorities believe a woman who disappeared Friday morning while walking beside a lake died after being bitten by a… https://t.co/u4CMVAsSu7,Sat Jun 09 00:21:05 +0000 2018,-0.6705,0.0,0.256,0.744,34
34,@CNN,A traffic stop led to a surprise reunion between a New Jersey state trooper and a retired police officer who delive… https://t.co/V7PyYaWkF9,Sat Jun 09 00:12:21 +0000 2018,-0.0258,0.103,0.108,0.788,35
35,@CNN,Oscar-winning actress and screenwriter Emma Thompson was awarded a damehood in Queen Elizabeth II's 2018 birthday h… https://t.co/MpbkSoKANN,Sat Jun 09 00:01:06 +0000 2018,0.4019,0.144,0.0,0.856,36
36,@CNN,"Krill are critical to the fight against climate change: These tiny creatures help capture carbon dioxide, offsettin… https://t.co/rFCDH4RU81",Sat Jun 09 00:01:00 +0000 2018,-0.296,0.119,0.217,0.664,37
37,@CNN,"RT @CNNTonight: A CNN Special Tribute, Remembering Anthony Bourdain airs tonight at 10pm ET https://t.co/s3Kt4FknHq",Fri Jun 08 23:57:51 +0000 2018,0.4019,0.172,0.0,0.828,38
38,@CNN,"Charles Krauthammer, the famed conservative columnist, informed readers that he is confronting an aggressive form o… https://t.co/YlUKUqKPuH",Fri Jun 08 23:51:05 +0000 2018,-0.296,0.0,0.176,0.824,39
39,@CNN,This US Army soldier traveled from Iraq for his daughter’s graduation and surprised her at the rehearsal… https://t.co/2DZKKlFYTc,Fri Jun 08 23:46:00 +0000 2018,0.2263,0.101,0.0,0.899,40
40,@CNN,"Bodycam video of a teenage boy's arrest has resulted in another internal investigation of the Mesa, Arizona, Police… https://t.co/SueFGA7107",Fri Jun 08 23:41:04 +0000 2018,-0.34,0.0,0.124,0.876,41
41,@CNN,You may think of the Antarctic as pristine wilderness. Nope: It's already showing the effects of human activity tho… https://t.co/TRVm40oyqj,Fri Jun 08 23:41:00 +0000 2018,0.0,0.0,0.0,1.0,42
42,@CNN,"John Lasseter will be leaving Disney at the end of the year, the company said.

Lasseter, who was the chief creativ… https://t.co/OyEkJ3EaGS",Fri Jun 08 23:36:04 +0000 2018,0.0,0.0,0.0,1.0,43
43,@CNN,A man in Texas nearly died after the severed head of a rattlesnake bit him https://t.co/XzVvLtnBjn https://t.co/is7JZcglWQ,Fri Jun 08 23:31:10 +0000 2018,-0.7269,0.0,0.319,0.681,44
44,@CNN,"Tonight in a special tribute, we remember and share the legacy of chef, storyteller and colleague Anthony Bourdain. https://t.co/E65oxBeKtq",Fri Jun 08 23:26:03 +0000 2018,0.5994,0.234,0.0,0.766,45
45,@CNN,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/tA96U8jYZx,Fri Jun 08 23:21:07 +0000 2018,0.765,0.329,0.145,0.526,46
46,@CNN,Ever felt like your vacation would make a good blockbuster movie? This tour company aims to capture your travel exp… https://t.co/yl6n8SxDCS,Fri Jun 08 23:16:00 +0000 2018,0.8519,0.354,0.0,0.646,47
47,@CNN,Israeli soldiers on Friday killed four Palestinians and wounded more than 600 others protesting in Gaza along the f… https://t.co/beW7cn612c,Fri Jun 08 23:11:05 +0000 2018,-0.8074,0.0,0.289,0.711,48
48,@CNN,"RT @AC360: Tonight, we take the full hour to remember the life of our friend and colleague Anthony Bourdain.

Join us for a special tribute…",Fri Jun 08 23:01:20 +0000 2018,0.7964,0.278,0.0,0.722,49
49,@CNN,Anthony Bourdain was a voice for the underdog | By Alice Driver via @CNNOpinion https://t.co/4ZCPEdEfjk https://t.co/PBr9BuHwwS,Fri Jun 08 23:01:03 +0000 2018,0.0,0.0,0.0,1.0,50
50,@CNN,"RT @CNNSitRoom: ""In death, as in life, Bourdain has brought the world closer together. He tried through his television shows and books to s…",Fri Jun 08 22:54:26 +0000 2018,-0.5994,0.0,0.145,0.855,51
51,@CNN,A total 62 people have suffered Ebola hemorrhagic fever in the Democratic Republic of the Congo since the first cas… https://t.co/kqNLlDoavt,Fri Jun 08 22:51:04 +0000 2018,-0.4939,0.0,0.144,0.856,52
52,@CNN,This delivery man is being praised for taking a welcome mat's quirky instructions literally https://t.co/JTIKQxzCvS https://t.co/oXlrZuuiKQ,Fri Jun 08 22:46:00 +0000 2018,0.7351,0.323,0.0,0.677,53
53,@CNN,A Virginia jury has found former CIA case officer Kevin Mallory guilty of transmitting secret and top secret docume… https://t.co/sZWhmszfGt,Fri Jun 08 22:41:03 +0000 2018,-0.25,0.083,0.13,0.787,54
54,@CNN,"In the Maldives, a resort offers endangered sea turtles a new life #WorldOceansDay https://t.co/lQp6cRpv18 https://t.co/Zt5iCH2Hy6",Fri Jun 08 22:31:07 +0000 2018,0.0,0.0,0.0,1.0,55
55,@CNN,After President Trump's lawyers sought to keep their protest over privilege in Michael Cohen's seized documents con… https://t.co/3e8dbqfi1R,Fri Jun 08 22:24:26 +0000 2018,0.128,0.122,0.098,0.78,56
56,@CNN,President Trump says he wants to meet with NFL players and athletes who kneel during the National Anthem so they ca… https://t.co/6MOM4UuM28,Fri Jun 08 22:21:07 +0000 2018,0.0,0.0,0.0,1.0,57
57,@CNN,"RT @CNNSitRoom: Trump says he’ll ask athletes who kneel during anthem to recommend people for pardoning

""Handing out 'Get Out of Jail Free…",Fri Jun 08 22:16:11 +0000 2018,0.6369,0.198,0.0,0.802,58
58,@CNN,BlackBerry still hopes its keyboard keeps fans coming back https://t.co/AodQi1UcNt https://t.co/4oRjSYSt3z,Fri Jun 08 22:16:00 +0000 2018,0.4215,0.219,0.0,0.781,59
59,@CNN,Are windowless planes the future of travel? https://t.co/fxFOb8RjZ1 https://t.co/MQkm7jtR4j,Fri Jun 08 22:01:04 +0000 2018,0.0,0.0,0.0,1.0,60
60,@CNN,Now is not the time to cut off AIDS funding | By Joe Biden and Bill Frist via @CNNOpinion https://t.co/mCxxZWiivR https://t.co/D3tAGsi1Wt,Fri Jun 08 21:51:04 +0000 2018,-0.2732,0.0,0.1,0.9,61
61,@CNN,This surveillance camera footage from last weekend shows a tiny asteroid that NASA says disintegrated over southern… https://t.co/XPwCbcVTee,Fri Jun 08 21:46:00 +0000 2018,0.0,0.0,0.0,1.0,62
62,@CNN,"As the #MeToo movement resurfaced, Anthony Bourdain wrote that he stood ""unhesitatingly and unwaveringly"" with wome… https://t.co/0fMpYQA72v",Fri Jun 08 21:41:05 +0000 2018,0.0,0.0,0.0,1.0,63
63,@CNN,Chinese government hackers have stolen large swaths of highly sensitive data on undersea warfare from a Navy contra… https://t.co/UbRl89uQjt,Fri Jun 08 21:36:07 +0000 2018,-0.6597,0.0,0.252,0.748,64
64,@CNN,"Penguins, Seals, and Krill: Antarctica's fragile food chain | via @CNNVR https://t.co/jVb9dbzVcA https://t.co/EEFb7xStuG",Fri Jun 08 21:31:39 +0000 2018,0.0,0.0,0.0,1.0,65
65,@CNN,RT @CNNSitRoom: President Trump says Russia should be reinstated to the G7 summit. Russia was suspended from the group in 2014 after the ma…,Fri Jun 08 21:29:39 +0000 2018,-0.4767,0.0,0.119,0.881,66
66,@CNN,The International Criminal Court has reversed the conviction of the former Vice President of the Democratic Republi… https://t.co/QXMKeNiVEv,Fri Jun 08 21:26:06 +0000 2018,-0.5267,0.0,0.167,0.833,67
67,@CNN,RT @TheLeadCNN: Robert Mueller's special counsel's office hit former Trump campaign chairman Paul Manafort with two more criminal charges a…,Fri Jun 08 21:22:54 +0000 2018,-0.5222,0.105,0.236,0.66,68
68,@CNN,"The US has withdrawn two more people from the US embassy in Havana, Cuba, due to health concerns, according to a se… https://t.co/sfLa3FR4Wb",Fri Jun 08 21:21:07 +0000 2018,0.0,0.0,0.0,1.0,69
