,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
30,@nytimes,"To Conduct Its Parks Concerts, the Philharmonic Taps a Rising Star https://t.co/eGDvYlMHpo",Fri Jun 08 23:00:35 +0000 2018,0.0,0.0,0.0,1.0,31
31,@nytimes,"A Russian oligarch’s $500 million yacht has 9 decks, 2 heliports and a pool. It’s also the top prize in Britain’s c… https://t.co/mCLj8f8oVH",Fri Jun 08 23:00:07 +0000 2018,0.6249,0.231,0.0,0.769,32
32,@nytimes,The powerful conservative donor couple you’ve never heard of: Liz and Dick Uihlein are spending millions to shape a… https://t.co/FH10BFfcNd,Fri Jun 08 22:46:06 +0000 2018,-0.128,0.116,0.137,0.747,33
33,@nytimes,"American Muslims say they own guns for the same reasons as anyone else: for protection, for hunting, or for their w… https://t.co/kWeSU92P71",Fri Jun 08 22:31:08 +0000 2018,0.0,0.0,0.0,1.0,34
34,@nytimes,"RT @EnnisNYT: Following acknowledged ""missteps"" that left staffers ""disrespected and uncomfortable,"" John Lasseter, co-founder of Pixar, wi…",Fri Jun 08 22:22:03 +0000 2018,-0.4588,0.0,0.158,0.842,35
35,@nytimes,KFC is testing out a new recipe in Britain that ditches its most famous ingredient: chicken https://t.co/dW0kCZTAcn,Fri Jun 08 22:16:07 +0000 2018,0.0,0.0,0.0,1.0,36
36,@nytimes,"Anthony Bourdain’s TV series understood that food is geographical, economic and political, @poniewozik writes https://t.co/7uUA89uHe5",Fri Jun 08 22:01:03 +0000 2018,0.0,0.0,0.0,1.0,37
37,@nytimes,She may already be the best high school runner ever. Now comes the hard part. https://t.co/2vwVW9afJb,Fri Jun 08 21:46:05 +0000 2018,0.5859,0.214,0.071,0.714,38
38,@nytimes,"If LeBron James wants to beat the Warriors, he may need to take a page out of Kevin Durant’s playbook and find a te… https://t.co/GWmgYLBgT7",Fri Jun 08 21:31:03 +0000 2018,0.0,0.0,0.0,1.0,39
39,@nytimes,"At once a work of social realism and a parable, En El Séptimo Día manages to feel natural as it ratchets with the m… https://t.co/W7IQ62wxjp",Fri Jun 08 21:16:01 +0000 2018,0.3612,0.102,0.0,0.898,40
40,@nytimes,RT @NYTSports: Who will win the vote for 2026 World Cup bid? It's Morocco vs. North America. Our vote tracker is live: https://t.co/iNoFwYW…,Fri Jun 08 21:01:06 +0000 2018,0.5859,0.147,0.0,0.853,41
41,@nytimes,"Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their… https://t.co/BXl3v7e9uT",Fri Jun 08 20:46:03 +0000 2018,0.0,0.0,0.0,1.0,42
42,@nytimes,"Modern Love: ""I had found a strange liberation in submitting to Dan, but it was only a first step. I wanted the dom… https://t.co/CEIRQKXki6",Fri Jun 08 20:31:07 +0000 2018,0.296,0.113,0.061,0.826,43
43,@nytimes,RT @TimHerrera: Winners are just people who know when to quit — and do it often https://t.co/qpG6mTOsKK by @superLEE7,Fri Jun 08 20:15:11 +0000 2018,0.4767,0.154,0.0,0.846,44
44,@nytimes,"La Malbaie, a Quebec resort town, hopes the Group of 7 will revive a glorious past https://t.co/BoGex42m28",Fri Jun 08 20:07:39 +0000 2018,0.8555,0.461,0.0,0.539,45
45,@nytimes,"""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout… https://t.co/jxhEwJEE6a",Fri Jun 08 19:46:01 +0000 2018,0.0,0.0,0.0,1.0,46
46,@nytimes,"Why corporate tax incentives are good for politicians who lure sports teams and companies, even if they can be terr… https://t.co/duCDBHzJR7",Fri Jun 08 19:31:04 +0000 2018,0.6369,0.215,0.0,0.785,47
47,@nytimes,The U.S. just beat out China to develop the world’s fastest supercomputer. You’d need 6.3 billion years to match wh… https://t.co/T19sWYnXBR,Fri Jun 08 19:20:35 +0000 2018,0.0,0.0,0.0,1.0,48
48,@nytimes,"RT @nytfood: This morning’s NYT Cooking newsletter from @SamSifton: a tribute to Anthony Bourdain, a giant of food journalism https://t.co/…",Fri Jun 08 19:16:04 +0000 2018,0.0,0.0,0.0,1.0,49
49,@nytimes,What love looks like over the course of one day in New York https://t.co/8pJm5MnAU2,Fri Jun 08 19:01:47 +0000 2018,0.7717,0.358,0.0,0.642,50
50,@nytimes,Trump said he would likely support a legislative proposal that would let states decide whether to legalize marijuana https://t.co/zwu2xJfm2a,Fri Jun 08 18:46:04 +0000 2018,0.4019,0.137,0.0,0.863,51
51,@nytimes,RT @FrankBruni: Anthony Bourdain exhorted us to savor every last morsel from the smorgasbord of life. In his memory we should do just that.…,Fri Jun 08 18:31:02 +0000 2018,0.0,0.0,0.0,1.0,52
52,@nytimes,"Breaking News: Paul Manafort, the former Trump campaign chairman, faces new obstruction charges in the Russia case.… https://t.co/mKJ3zkUyVE",Fri Jun 08 18:22:18 +0000 2018,-0.2732,0.0,0.11,0.89,53
53,@nytimes,"Boris Johnson, Britain’s top diplomat, suggested President Trump would do a better job negotiating Brexit than Tere… https://t.co/D0Zk40CvHK",Fri Jun 08 18:16:04 +0000 2018,0.5719,0.239,0.0,0.761,54
